file,conversation,sample_id,rq,group,item,metric,watermark,no_watermark,signed_metadata_only,random_replace
conv1.json,1,conv-30,RQ2 Capacity,by_carrier,carrier=update_target,avg_entropy,1.5075915925429395,1.5195140140852883,1.4701630105552776,1.4936118745015974
conv1.json,1,conv-30,RQ2 Capacity,by_carrier,carrier=update_target,bits_embedded,9.0,0.0,0.0,0.0
conv1.json,1,conv-30,RQ2 Capacity,by_carrier,carrier=update_target,bits_per_decision,0.0703125,0.0,0.0,0.0
conv1.json,1,conv-30,RQ2 Capacity,by_carrier,carrier=update_target,decisions,128.0,89.0,116.0,110.0
conv1.json,1,conv-30,RQ2 Capacity,overall,,acceptance_rate,1.0,1.0,1.0,1.0
conv1.json,1,conv-30,RQ2 Capacity,overall,,avg_candidate_set_size,4.0,3.998456790123457,4.0,4.0
conv1.json,1,conv-30,RQ2 Capacity,overall,,avg_entropy,1.4863039728088105,1.5095054697437396,1.4810130864898623,1.4899968838982212
conv1.json,1,conv-30,RQ2 Capacity,overall,,bits_embedded,41.0,0.0,0.0,0.0
conv1.json,1,conv-30,RQ2 Capacity,overall,,bits_per_decision,0.056708160442600276,0.0,0.0,0.0
conv1.json,1,conv-30,RQ2 Capacity,overall,,decisions,723.0,648.0,680.0,595.0
conv1.json,1,conv-30,RQ3 Verification,r1,,bit_recovery_rate,1.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r1,,bits_recovered,41.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r1,,bits_total,41.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r1,,commitment_pass_rate,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.1,anchor_signature_valid,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.1,bit_recovery_rate,0.0975609756097561,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.1,bits_recovered,4.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.1,bits_total,41.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.1,kept_leaves,72.0,,68.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.1,root_matches,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.3,anchor_signature_valid,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.3,bit_recovery_rate,0.4146341463414634,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.3,bits_recovered,17.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.3,bits_total,41.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.3,kept_leaves,217.0,,204.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.3,root_matches,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.5,anchor_signature_valid,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.5,bit_recovery_rate,0.5609756097560976,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.5,bits_recovered,23.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.5,bits_total,41.0,,0.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.5,kept_leaves,362.0,,340.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.5,root_matches,1.0,,1.0,
conv1.json,1,conv-30,RQ3 Verification,r2,r=0.7,anchor_signature_valid,1.0,,1.0,
